Team_Name,Link
Arizona Cardinals  Chicago/St. Louis/Arizona Cardinals,http://www.pro-football-reference.com/teams/crd/coaches.htm
Atlanta Falcons,http://www.pro-football-reference.com/teams/atl/coaches.htm
Baltimore Ravens,http://www.pro-football-reference.com/teams/rav/coaches.htm
Buffalo Bills,http://www.pro-football-reference.com/teams/buf/coaches.htm
Carolina Panthers,http://www.pro-football-reference.com/teams/car/coaches.htm
Chicago Bears  Decatur/Chicago Staleys,http://www.pro-football-reference.com/teams/chi/coaches.htm
Cincinnati Bengals,http://www.pro-football-reference.com/teams/cin/coaches.htm
Cleveland Browns,http://www.pro-football-reference.com/teams/cle/coaches.htm
Dallas Cowboys,http://www.pro-football-reference.com/teams/dal/coaches.htm
Denver Broncos,http://www.pro-football-reference.com/teams/den/coaches.htm
Detroit Lions  Portsmouth Spartans,http://www.pro-football-reference.com/teams/det/coaches.htm
Green Bay Packers,http://www.pro-football-reference.com/teams/gnb/coaches.htm
Houston Texans,http://www.pro-football-reference.com/teams/htx/coaches.htm
Indianapolis Colts  Baltimore/Indianapolis Colts,http://www.pro-football-reference.com/teams/clt/coaches.htm
Jacksonville Jaguars,http://www.pro-football-reference.com/teams/jax/coaches.htm
Kansas City Chiefs  Dallas Texans,http://www.pro-football-reference.com/teams/kan/coaches.htm
Miami Dolphins,http://www.pro-football-reference.com/teams/mia/coaches.htm
Minnesota Vikings,http://www.pro-football-reference.com/teams/min/coaches.htm
New England Patriots,http://www.pro-football-reference.com/teams/nwe/coaches.htm
New Orleans Saints,http://www.pro-football-reference.com/teams/nor/coaches.htm
New York Giants,http://www.pro-football-reference.com/teams/nyg/coaches.htm
New York Jets,http://www.pro-football-reference.com/teams/nyj/coaches.htm
Oakland Raiders  Oakland/Los Angeles Raiders,http://www.pro-football-reference.com/teams/rai/coaches.htm
Philadelphia Eagles,http://www.pro-football-reference.com/teams/phi/coaches.htm
Pittsburgh Steelers,http://www.pro-football-reference.com/teams/pit/coaches.htm
San Diego Chargers  Los Angeles Chargers,http://www.pro-football-reference.com/teams/sdg/coaches.htm
San Francisco 49ers,http://www.pro-football-reference.com/teams/sfo/coaches.htm
Seattle Seahawks,http://www.pro-football-reference.com/teams/sea/coaches.htm
St. Louis Rams  Cleveland/LA/St. Louis Rams,http://www.pro-football-reference.com/teams/ram/coaches.htm
Tampa Bay Buccaneers,http://www.pro-football-reference.com/teams/tam/coaches.htm
Tennessee Titans  Houston Oilers/Tennessee Titans,http://www.pro-football-reference.com/teams/oti/coaches.htm
Washington Redskins  Boston Braves/Redskins,http://www.pro-football-reference.com/teams/was/coaches.htm
